Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R37,49.9R 1%,R_0402_1005Metric,11.96,15.36,270.0,bottom
R38,49.9R 1%,R_0402_1005Metric,10.95,15.36,270.0,bottom
R39,3.3R 1%,R_0402_1005Metric,11.025,15.36,-90.0,top
R4,33R 1%,R_0402_1005Metric,13.599212,44.295788,90.0,top
R40,0R 1%,R_0402_1005Metric,10.95,13.43,-90.0,top
R41,3.3R 1%,R_0402_1005Metric,12.0,15.375,-90.0,top
R42,0R 1%,R_0402_1005Metric,11.96,13.43,-90.0,top
R43,1M 1%,R_0402_1005Metric,12.68,33.53,90.0,top
R44,3.3R 1%,R_0402_1005Metric,13.025,15.36,-90.0,top
R45,470R 1%,R_0402_1005Metric,20.675,27.675,0.0,top
R46,3.3R 1%,R_0402_1005Metric,14.0,15.36,-90.0,top
R47,470R 1%,R_0402_1005Metric,20.69,26.65,0.0,top
R48,49.9R 1%,R_0402_1005Metric,12.97,15.36,90.0,bottom
R49,49.9R 1%,R_0402_1005Metric,13.97,15.37,90.0,bottom
R5,1K 1%,R_0402_1005Metric,13.949212,60.745788,180.0,top
R50,12.4K 1%,R_0402_1005Metric,15.5,16.85,-90.0,top
R51,0R 1%,R_1206_3216Metric,2.35,13.1125,-90.0,top
R52,5.1K 1%,R_0402_1005Metric,2.28,8.025,180.0,top
R53,10K 1%,R_0402_1005Metric,6.475,65.86,-90.0,top
R54,7.5K 1%,R_0402_1005Metric,5.575,71.835,0.0,top
R55,5.1K 1%,R_0402_1005Metric,2.265,9.05,0.0,top
R56,5.1K 1%,R_0402_1005Metric,21.015,72.8,180.0,top
R57,1M 1%,R_1206_3216Metric,17.0,74.825,-90.0,top
R59,2.4K 1%,R_0402_1005Metric,5.575,72.885,180.0,top
R6,1K 1%,R_0402_1005Metric,21.675,30.135,90.0,top
R60,1K 1%,R_0402_1005Metric,2.075,76.65,-90.0,top
R62,1K 1%,R_0402_1005Metric,4.55,77.15,180.0,top
R7,27R 1%,R_0402_1005Metric,4.2,41.1,180.0,top
R8,4.7K 1%,R_0402_1005Metric,15.265,71.25,0.0,top
R9,27R 1%,R_0402_1005Metric,6.85,41.61,90.0,top
SW1,B3U-1000P,SW_B3U-1000P,27.175,11.075,-90.0,top
SW2,B3U-1000P,SW_B3U-1000P,8.825,78.5,180.0,top
X1,12MHz 10pF,X3225,15.074212,63.020788,90.0,top
X2,25MHz 12pF,X3225,10.35,33.63,180.0,top
