Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R27,100R 1%,R_Array_Convex_4x0603,24.379212,53.520788,180.0,top
R28,100R 1%,R_Array_Convex_4x0603,24.379212,57.295788,180.0,top
R29,100R 1%,R_0402_1005Metric,5.684212,46.920788,0.0,top
R3,33R 1%,R_0402_1005Metric,13.349212,44.445788,-90.0,top
R30,100R 1%,R_Array_Convex_4x0603,24.379212,61.070788,180.0,top
R31,100R 1%,R_0402_1005Metric,5.699212,45.920788,0.0,top
R32,100R 1%,R_0402_1005Metric,5.699212,44.920788,0.0,top
R33,100R 1%,R_0402_1005Metric,5.709212,43.920788,0.0,top
R34,1K 1%,R_0402_1005Metric,16.975,66.575,180.0,top
R35,4.7K 1%,R_0402_1005Metric,8.51,26.25,0.0,top
R36,470R 1%,R_0402_1005Metric,18.9,16.99,-90.0,top
R37,49.9R 1%,R_0402_1005Metric,12.71,15.51,270.0,bottom
R38,49.9R 1%,R_0402_1005Metric,11.7,15.51,270.0,bottom
R39,3.3R 1%,R_0402_1005Metric,11.775,15.51,-90.0,top
R4,33R 1%,R_0402_1005Metric,14.349212,44.445788,90.0,top
R40,0R 1%,R_0402_1005Metric,11.7,13.58,-90.0,top
R41,3.3R 1%,R_0402_1005Metric,12.75,15.525,-90.0,top
R42,0R 1%,R_0402_1005Metric,12.71,13.58,-90.0,top
R43,1M 1%,R_0402_1005Metric,13.43,33.68,90.0,top
R44,3.3R 1%,R_0402_1005Metric,13.775,15.51,-90.0,top
R45,470R 1%,R_0402_1005Metric,21.425,27.825,0.0,top
R46,3.3R 1%,R_0402_1005Metric,14.75,15.51,-90.0,top
R47,470R 1%,R_0402_1005Metric,21.44,26.8,0.0,top
R48,49.9R 1%,R_0402_1005Metric,13.72,15.51,90.0,bottom
R49,49.9R 1%,R_0402_1005Metric,14.72,15.52,90.0,bottom
R5,1K 1%,R_0402_1005Metric,14.699212,60.895788,180.0,top
R50,12.4K 1%,R_0402_1005Metric,16.25,17.0,-90.0,top
R51,0R 1%,R_1206_3216Metric,3.225,13.3125,90.0,top
R52,5.1K 1%,R_0402_1005Metric,3.03,8.175,180.0,top
R53,10K 1%,R_0402_1005Metric,7.225,66.01,-90.0,top
R54,7.5K 1%,R_0402_1005Metric,6.325,71.985,0.0,top
R55,5.1K 1%,R_0402_1005Metric,3.015,9.2,0.0,top
R59,2.4K 1%,R_0402_1005Metric,6.325,73.035,180.0,top
R6,1K 1%,R_0402_1005Metric,22.425,30.285,90.0,top
R60,1K 1%,R_0402_1005Metric,2.825,76.8,-90.0,top
R62,1K 1%,R_0402_1005Metric,5.3,77.3,180.0,top
R7,27R 1%,R_0402_1005Metric,4.95,41.25,180.0,top
R8,4.7K 1%,R_0402_1005Metric,17.85,72.175,0.0,top
R9,27R 1%,R_0402_1005Metric,7.6,41.76,90.0,top
RST,B3U-1000P,SW_B3U-1000P,9.55,78.65,180.0,top
USB,Green,LED_0402_1005Metric,4.825,79.015,90.0,top
X1,12MHz 10pF,X3225,15.824212,63.170788,90.0,top
X2,25MHz 12pF,X3225,11.1,33.78,180.0,top
